	keywords	counts
2887	SARS-Cov-2	9
2023	Molecular dynamics simulation	9
3838	clinical trial	9
5852	virus	9
1302	FDA-approved drugs	9
3634	artificial intelligence	9
4563	infection	9
3423	adverse drug reactions	9
1910	Machine learning	9
3963	deep learning	9
5181	pharmacovigilance	9
5102	pandemics	9
599	COVID‐19	9
1484	Harm reduction	9
224	Adverse drug reactions	9
2468	Pneumonia	9
1057	Drug interaction	8
1101	Drug therapy	8
3694	bioinformatics	8
3749	cancer	8
2404	People who use drugs	8
5171	pharmacokinetics	8
2151	Nanotechnology	8
4544	in silico	8
2730	Repurposed drugs	8
3420	adverse drug events	8
4132	drug targets	8
2447	Phytochemicals	8
2875	SARS-CoV-2, severe acute respiratory syndrome coronavirus 2	8
1085	Drug resistance	8
340	Antiviral drug	8
4135	drug therapy	7
164	ARDS	7
4117	drug resistance	7
5628	structure-based drug design	7
3210	Treatment	7
1087	Drug safety	7
240	Alcohol	7
4119	drug safety	7
5176	pharmacology	7
4208	efficacy	7
644	Cancer	7
2433	Pharmacovigilance	7
5861	viruses	7
2349	PLpro	7
4842	molecular modeling	7
4523	immunomodulation	7
589	COVID-19, coronavirus disease 2019	7
4128	drug target	7
3425	adverse effects	7
3908	coronaviruses	7
4699	lopinavir/ritonavir	7
1254	Epidemiology	7
3902	coronavirus disease	7
4837	molecular dynamics simulation	7
125	ADMET	7
4136	drug toxicity	7
5270	pregnancy	7
4390	haematology (drugs and medicines)	7
5353	public health	7
2801	SARS CoV-2	7
702	China	7
4542	immunotherapy	6
3704	biologics	6
5124	pathophysiology	6
5706	therapeutic drug monitoring	6
567	COVID-19 pandemic	6
337	Antiviral agents	6
3345	WHO, World Health Organization	6
5119	pathogenesis	6
5328	proteomics	6
4123	drug shortage	6
3660	azithromycin	6
894	Cytokine storm	6
3147	Telemedicine	6
4698	lopinavir	6
3910	corticosteroids	6
4079	drug interaction	6
4158	drug-likeness	6
5300	protease inhibitors	6
5299	protease inhibitor	6
4490	hypertension	6
905	DFT	6
1290	FDA	6
4593	inhibitors	6
1098	Drug target	6
4026	dosage	6
2157	Natural compounds	6
1095	Drug shortage	6
1918	Main protease	6
5077	outbreak	6
4581	influenza	6
1011	Drug Repurposing	6
4528	immunomodulatory drugs	6
5523	severe acute respiratory syndrome	6
5186	pharmacy service	6
3834	clinical research/practice	6
4454	hospital	6
4564	infection and infectious agents - viral	6
4642	ivermectin	6
4105	drug reaction	6
222	Adverse drug reaction	6
5335	psoriasis	6
1860	MD simulations	6
1684	Inflammation	6
3894	corona virus	6
1655	Immunotherapy	5
538	COVID	5
5441	repurposing drugs	5
2578	Public health	5
3015	Solution NMR-spectroscopy	5
575	COVID-19 treatment	5
4536	immunosuppressive drugs	5
1656	In silico	5
2830	SARS-CoV-1	5
298	Antibiotics	5
1132	Drug-related side effects and adverse reactions	5
4980	non-steroidal anti-inflammatory drugs	5
4907	nanoparticles	5
1090	Drug screening	5
400	Azithromycin	5
963	Diagnosis	5
4904	nanomedicine	5
1890	MM-GBSA	5
2146	Nanomedicine	5
4839	molecular dynamics simulations	5
1961	Medicinal plants	5
4570	infections	5
1681	Infectious disease	5
1495	Health care	5
1683	Infectious diseases	5
2538	Protease inhibitors	5
3596	antiviral agents	5
2648	RNA polymerase	5
3267	Vaccination	5
3162	Therapeutic drug monitoring	5
812	Convalescent plasma	5
2957	Sars-CoV-2	5
960	Diabetes	5
2658	RNA-dependent RNA polymerase	5
1870	MERS	5
5301	proteases	5
3177	Tocilizumab	5
2403	People who inject drugs	5
1502	Health policy	5
3335	Viruses	5
3545	antibodies	5
2983	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)	5
201	Acute respiratory distress syndrome	5
3402	addiction	5
5559	skin	5
2039	Monoclonal antibodies	5
5275	prevention	5
65	3C-like protease	5
5744	traditional Chinese medicine	5
3975	dermatology	5
4507	immune response	5
2293	Opioids	5
4149	drug-drug interactions	5
2221	Novel coronavirus	5
2044	Mortality	5
2854	SARS-CoV-2 infection	4
4525	immunomodulators	4
4139	drug treatment	4
4166	drug-repurposing	4
2532	Prophylaxis	4
5137	peptides	4
416	Baricitinib	4
4013	disease-modifying antirheumatic drugs	4
2529	Prognosis	4
2894	SARS‐CoV‐2	4
3496	angiotensin-converting enzyme 2	4
2982	Severe acute respiratory syndrome coronavirus 2	4
1745	Ivermectin	4
4037	drug administration	4
1670	India	4
2518	Prevention	4
2249	Nutraceuticals	4
2565	Psychiatry	4
5056	opioid	4
4143	drug use	4
4457	hospitalization	4
5634	substance use disorder	4
949	Deep learning	4
5474	ritonavir	4
2210	Non-structural protein	4
3421	adverse drug reaction	4
5593	spike glycoprotein	4
2817	SARS-2	4
5178	pharmacophore	4
